time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,taker_aggregated_buy_volume_usd,taker_aggregated_sell_volume_usd,unit,agg_taker_aggregated_buy_volume_usd,agg_taker_aggregated_sell_volume_usd
2024-01-01 00:00:00,Binance,BTC,1h,42283.58,42554.57,42261.02,42475.23,53957248.9738,,,,28957416.8196,24999832.1541
2024-01-01 01:00:00,Binance,BTC,1h,42475.23,42775.0,42431.65,42613.56,50984893.3481,,,,30355645.3483,20629247.9999
2024-01-01 02:00:00,Binance,BTC,1h,42613.57,42638.41,42500.0,42581.1,29167377.9732,,,,12301017.2998,16866360.6735
2024-01-01 03:00:00,Binance,BTC,1h,42581.09,42586.64,42230.08,42330.49,33709050.2741,,,,15112996.3758,18596053.8983
2024-01-01 04:00:00,Binance,BTC,1h,42330.5,42399.99,42209.46,42399.99,30271621.0007,,,,15703618.932,14568002.0688
2024-01-01 05:00:00,Binance,BTC,1h,42399.98,42406.0,42180.77,42234.01,31159533.4764,,,,14414594.8709,16744938.6055
2024-01-01 06:00:00,Binance,BTC,1h,42234.01,42424.82,42208.68,42396.69,25454115.8447,,,,14759685.2542,10694430.5905
2024-01-01 07:00:00,Binance,BTC,1h,42396.69,42500.0,42396.68,42492.46,27757929.5827,,,,13809558.5581,13948371.0245
2024-01-01 08:00:00,Binance,BTC,1h,42492.46,42556.5,42452.58,42549.99,18158032.0713,,,,8614418.4233,9543613.648
2024-01-01 09:00:00,Binance,BTC,1h,42550.0,42699.32,42537.18,42649.69,37495909.152,,,,19643796.8181,17852112.3339
2024-01-01 10:00:00,Binance,BTC,1h,42649.69,42749.36,42628.0,42691.1,36575404.2278,,,,19562257.29,17013146.9378
2024-01-01 11:00:00,Binance,BTC,1h,42691.1,42762.39,42605.21,42690.2,33516541.8168,,,,17138999.1008,16377542.716
2024-01-01 12:00:00,Binance,BTC,1h,42690.21,42780.0,42611.45,42648.38,33542689.803,,,,15513372.6295,18029317.1735
2024-01-01 13:00:00,Binance,BTC,1h,42648.37,42748.0,42612.76,42715.54,21230655.2581,,,,10794600.8004,10436054.4577
2024-01-01 14:00:00,Binance,BTC,1h,42715.54,42715.55,42580.0,42612.24,30312550.0545,,,,15750630.378,14561919.6765
2024-01-01 15:00:00,Binance,BTC,1h,42612.24,42847.07,42586.51,42783.05,40272827.0639,,,,21818909.6237,18453917.4403
2024-01-01 16:00:00,Binance,BTC,1h,42783.05,42856.0,42664.42,42725.15,39292588.8194,,,,19222594.9405,20069993.8789
2024-01-01 17:00:00,Binance,BTC,1h,42725.15,42824.9,42704.42,42812.7,28962179.5203,,,,14108987.8934,14853191.6269
2024-01-01 18:00:00,Binance,BTC,1h,42812.71,43208.86,42812.7,43111.1,92299025.1971,,,,51377573.0698,40921452.1273
2024-01-01 19:00:00,Binance,BTC,1h,43111.1,43550.0,43103.64,43517.99,84416763.6541,,,,45242850.5273,39173913.1267
2024-01-01 20:00:00,Binance,BTC,1h,43517.98,43829.99,43510.71,43687.86,126914170.3804,,,,69332665.6334,57581504.747
2024-01-01 21:00:00,Binance,BTC,1h,43687.85,43792.59,43480.76,43619.21,67281632.0349,,,,32173665.2965,35107966.7384
2024-01-01 22:00:00,Binance,BTC,1h,43619.22,43661.1,43361.6,43529.93,44554969.9326,,,,20973587.9926,23581381.94
2024-01-01 23:00:00,Binance,BTC,1h,43529.94,44184.1,43529.93,44179.55,152707972.5679,,,,90668650.6844,62039321.8835
2024-01-02 00:00:00,Binance,BTC,1h,44179.55,45200.0,44148.34,45056.0,311922306.3847,,,,193743218.9461,118179087.4387
2024-01-02 01:00:00,Binance,BTC,1h,45056.0,45372.79,44686.0,44855.96,197892745.9485,,,,103268344.7286,94624401.22
2024-01-02 02:00:00,Binance,BTC,1h,44855.96,45381.42,44855.95,45378.96,136077337.2615,,,,76068066.0558,60009271.2057
2024-01-02 03:00:00,Binance,BTC,1h,45378.96,45500.0,45131.1,45402.38,122074726.9024,,,,64476590.5131,57598136.3893
2024-01-02 04:00:00,Binance,BTC,1h,45402.38,45468.99,45170.0,45179.8,102738256.4717,,,,49663658.0825,53074598.3892
2024-01-02 05:00:00,Binance,BTC,1h,45179.8,45324.72,45121.96,45179.48,73162843.2093,,,,37174288.8343,35988554.3751
2024-01-02 06:00:00,Binance,BTC,1h,45179.48,45308.15,45130.0,45168.75,62888409.2717,,,,31334357.8324,31554051.4393
2024-01-02 07:00:00,Binance,BTC,1h,45168.75,45643.75,45168.74,45455.53,141383176.066,,,,70035220.5537,71347955.5122
2024-01-02 08:00:00,Binance,BTC,1h,45455.52,45852.93,45326.6,45759.3,151813235.9887,,,,80392272.8132,71420963.1756
2024-01-02 09:00:00,Binance,BTC,1h,45759.3,45879.63,45631.1,45673.48,95894862.4402,,,,46350355.4704,49544506.9698
2024-01-02 10:00:00,Binance,BTC,1h,45673.48,45711.1,45431.52,45584.99,94321216.3911,,,,41194364.4007,53126851.9904
2024-01-02 11:00:00,Binance,BTC,1h,45585.0,45698.67,45200.0,45433.99,115284960.6563,,,,55465991.1226,59818969.5336
2024-01-02 12:00:00,Binance,BTC,1h,45433.99,45589.68,45271.04,45301.99,96664856.5411,,,,52714128.7745,43950727.7666
2024-01-02 13:00:00,Binance,BTC,1h,45302.0,45705.8,45264.39,45637.93,102627045.4694,,,,52266950.3158,50360095.1536
2024-01-02 14:00:00,Binance,BTC,1h,45637.92,45800.0,44970.0,45258.73,206816073.7479,,,,101809487.4665,105006586.2814
2024-01-02 15:00:00,Binance,BTC,1h,45258.73,45349.98,44833.33,45184.82,194029243.182,,,,94072677.0796,99956566.1024
2024-01-02 16:00:00,Binance,BTC,1h,45184.83,45399.84,44890.11,45357.84,137806764.7738,,,,66441110.3969,71365654.3769
2024-01-02 17:00:00,Binance,BTC,1h,45357.84,45382.08,44950.48,44966.15,114638119.9812,,,,61619852.1749,53018267.8062
2024-01-02 18:00:00,Binance,BTC,1h,44966.16,45271.2,44944.0,45154.69,81458425.088,,,,44617713.8104,36840711.2776
2024-01-02 19:00:00,Binance,BTC,1h,45154.7,45243.0,44790.96,45039.49,105621621.8821,,,,53502483.7886,52119138.0935
2024-01-02 20:00:00,Binance,BTC,1h,45039.49,45180.55,44742.96,44788.28,87211403.1965,,,,40655036.5754,46556366.6211
2024-01-02 21:00:00,Binance,BTC,1h,44788.27,45119.76,44600.0,45119.74,91695184.3731,,,,47618973.9732,44076210.3999
2024-01-02 22:00:00,Binance,BTC,1h,45119.74,45297.26,44840.01,44981.73,71768760.4184,,,,39626944.9176,32141815.5007
2024-01-02 23:00:00,Binance,BTC,1h,44981.72,45049.98,44802.01,44946.91,48540246.1776,,,,23852035.6109,24688210.5666
2024-01-03 00:00:00,Binance,BTC,1h,44946.91,45212.57,44862.11,45135.61,63508730.0351,,,,29437039.5514,34071690.4837
2024-01-03 01:00:00,Binance,BTC,1h,45135.61,45329.83,45102.72,45317.58,52726403.2111,,,,26128343.4375,26598059.7736
2024-01-03 02:00:00,Binance,BTC,1h,45317.58,45410.91,45211.73,45274.57,65005733.517,,,,25665211.2284,39340522.2887
2024-01-03 03:00:00,Binance,BTC,1h,45274.57,45310.0,45151.91,45262.69,33444835.1015,,,,14178044.1462,19266790.9553
2024-01-03 04:00:00,Binance,BTC,1h,45262.7,45272.16,45115.59,45183.45,36017421.4736,,,,16314228.7688,19703192.7048
2024-01-03 05:00:00,Binance,BTC,1h,45183.45,45294.11,45118.91,45172.13,38413990.6207,,,,17894066.4134,20519924.2073
2024-01-03 06:00:00,Binance,BTC,1h,45172.12,45363.19,45160.0,45326.93,57227694.4205,,,,29616390.7448,27611303.6757
2024-01-03 07:00:00,Binance,BTC,1h,45326.92,45384.84,44940.93,45011.77,80400621.9735,,,,35327583.4759,45073038.4976
2024-01-03 08:00:00,Binance,BTC,1h,45011.77,45200.0,45001.1,45200.0,65981824.9636,,,,31082096.2342,34899728.7293
2024-01-03 09:00:00,Binance,BTC,1h,45200.0,45500.0,45185.39,45344.67,90981020.9965,,,,47239451.3848,43741569.6117
2024-01-03 10:00:00,Binance,BTC,1h,45344.66,45398.37,45045.95,45151.91,86742673.9775,,,,35529592.0278,51213081.9496
2024-01-03 11:00:00,Binance,BTC,1h,45151.91,45174.07,43500.0,43702.88,348280893.0326,,,,145345180.0509,202935712.9816
2024-01-03 12:00:00,Binance,BTC,1h,43702.89,43716.0,40750.0,42789.38,850665982.8462,,,,402864114.0164,447801868.8298
2024-01-03 13:00:00,Binance,BTC,1h,42789.39,42820.92,42310.0,42529.4,237640960.9121,,,,115703677.6864,121937283.2257
2024-01-03 14:00:00,Binance,BTC,1h,42529.4,42532.0,42050.0,42179.99,192910862.94,,,,95955808.2216,96955054.7184
2024-01-03 15:00:00,Binance,BTC,1h,42180.0,43009.02,42175.14,43000.01,220390342.0332,,,,119103508.6842,101286833.349
2024-01-03 16:00:00,Binance,BTC,1h,43000.01,43567.92,42773.34,42992.67,301341280.5691,,,,152934693.0637,148406587.5055
2024-01-03 17:00:00,Binance,BTC,1h,42992.68,43034.59,42600.0,42906.0,126012706.7001,,,,65205628.1708,60807078.5294
2024-01-03 18:00:00,Binance,BTC,1h,42906.0,43050.0,42000.0,42255.72,141155150.778,,,,67005539.9663,74149610.8116
2024-01-03 19:00:00,Binance,BTC,1h,42255.72,43011.1,42161.1,42596.67,155915291.2412,,,,81829776.0151,74085515.2261
2024-01-03 20:00:00,Binance,BTC,1h,42596.66,42846.17,42518.7,42721.02,82473775.7572,,,,46946766.0131,35527009.7441
2024-01-03 21:00:00,Binance,BTC,1h,42721.02,42966.27,42581.1,42917.62,72462433.7064,,,,39149238.651,33313195.0554
2024-01-03 22:00:00,Binance,BTC,1h,42917.61,42941.1,42596.24,42749.68,59318142.5167,,,,26045722.182,33272420.3348
2024-01-03 23:00:00,Binance,BTC,1h,42749.69,42845.23,42591.09,42845.23,48085790.4206,,,,21163502.8164,26922287.6043
2024-01-04 00:00:00,Binance,BTC,1h,42845.23,42983.77,42754.0,42874.01,69434449.7033,,,,32328095.2968,37106354.4065
2024-01-04 01:00:00,Binance,BTC,1h,42874.0,42936.79,42613.77,42708.01,57181047.361,,,,25674824.8412,31506222.5198
2024-01-04 02:00:00,Binance,BTC,1h,42708.01,43219.36,42690.02,43138.49,53957399.6276,,,,31113979.9686,22843419.659
2024-01-04 03:00:00,Binance,BTC,1h,43138.5,43220.56,43002.15,43102.8,54935802.8253,,,,23208611.4201,31727191.4051
2024-01-04 04:00:00,Binance,BTC,1h,43102.79,43200.0,42955.5,43149.99,46516293.5634,,,,20879079.6711,25637213.8923
2024-01-04 05:00:00,Binance,BTC,1h,43149.99,43273.08,43072.7,43183.74,41931295.3143,,,,21644998.264,20286297.0502
2024-01-04 06:00:00,Binance,BTC,1h,43183.74,43232.95,43086.59,43155.46,42725688.4379,,,,16801438.3425,25924250.0953
2024-01-04 07:00:00,Binance,BTC,1h,43155.46,43261.64,42756.97,42763.08,103327286.6964,,,,44619235.6768,58708051.0196
2024-01-04 08:00:00,Binance,BTC,1h,42763.08,42975.38,42699.83,42849.66,70709596.653,,,,31351061.1328,39358535.5201
2024-01-04 09:00:00,Binance,BTC,1h,42849.67,43084.38,42849.66,43007.74,60667167.4422,,,,23056185.3686,37610982.0737
2024-01-04 10:00:00,Binance,BTC,1h,43007.73,43100.0,42616.28,43073.26,96614687.3753,,,,48012605.6432,48602081.7322
2024-01-04 11:00:00,Binance,BTC,1h,43073.26,43233.81,42927.33,43176.32,61830202.2618,,,,32885460.3958,28944741.866
2024-01-04 12:00:00,Binance,BTC,1h,43176.33,43423.95,43097.06,43378.12,96910749.1493,,,,53362390.6256,43548358.5237
2024-01-04 13:00:00,Binance,BTC,1h,43378.11,43484.84,43167.27,43346.68,71867328.2809,,,,36442367.4228,35424960.8581
2024-01-04 14:00:00,Binance,BTC,1h,43346.67,43753.15,43250.0,43676.07,115171258.7817,,,,58639270.9019,56531987.8798
2024-01-04 15:00:00,Binance,BTC,1h,43676.07,44329.99,43608.0,44051.1,222248022.5278,,,,114478643.6138,107769378.9141
2024-01-04 16:00:00,Binance,BTC,1h,44051.1,44134.8,43777.86,43915.71,121431076.8114,,,,57269832.326,64161244.4854
2024-01-04 17:00:00,Binance,BTC,1h,43915.7,44225.75,43827.69,43990.01,110519635.0936,,,,51215082.0798,59304553.0138
2024-01-04 18:00:00,Binance,BTC,1h,43990.01,44152.09,43881.31,44048.96,66942304.769,,,,32739099.5799,34203205.1891
2024-01-04 19:00:00,Binance,BTC,1h,44048.95,44437.5,43910.01,43956.48,115098295.2308,,,,57679383.1248,57418912.1061
2024-01-04 20:00:00,Binance,BTC,1h,43956.48,44690.0,43890.9,44113.68,134695791.3545,,,,72446740.9935,62249050.361
2024-01-04 21:00:00,Binance,BTC,1h,44113.68,44589.04,44113.67,44430.86,112601808.7626,,,,58759626.8994,53842181.8632
2024-01-04 22:00:00,Binance,BTC,1h,44430.86,44729.58,44150.64,44318.0,109918195.1361,,,,59884714.8972,50033480.2389
2024-01-04 23:00:00,Binance,BTC,1h,44318.01,44355.22,44050.0,44151.1,57859976.3345,,,,25582539.3528,32277436.9816
2024-01-05 00:00:00,Binance,BTC,1h,44151.1,44248.47,43950.84,44211.1,77890093.5606,,,,37684024.2028,40206069.3578
2024-01-05 01:00:00,Binance,BTC,1h,44211.1,44284.0,42450.0,43376.0,230095608.9621,,,,104179876.9068,125915732.0553
2024-01-05 02:00:00,Binance,BTC,1h,43376.0,43972.86,43302.0,43506.0,135516112.0979,,,,70447033.8771,65069078.2208
2024-01-05 03:00:00,Binance,BTC,1h,43506.01,43770.0,43409.79,43465.21,67231840.5297,,,,30709841.3248,36521999.2049
2024-01-05 04:00:00,Binance,BTC,1h,43465.21,43629.99,43187.89,43589.88,77734927.6304,,,,38337999.5635,39396928.0668
2024-01-05 05:00:00,Binance,BTC,1h,43589.87,43723.13,43507.48,43644.15,41322827.8853,,,,21086314.0112,20236513.8741
2024-01-05 06:00:00,Binance,BTC,1h,43644.16,43926.0,43578.08,43844.82,48638491.8588,,,,26772777.6732,21865714.1856
2024-01-05 07:00:00,Binance,BTC,1h,43845.08,43926.0,43715.93,43777.47,48191706.7371,,,,23218620.7411,24973085.9961
2024-01-05 08:00:00,Binance,BTC,1h,43777.48,43947.99,43771.1,43911.44,43386102.5375,,,,22368603.3172,21017499.2203
2024-01-05 09:00:00,Binance,BTC,1h,43911.44,44324.8,43911.44,44147.21,115928746.8492,,,,60119185.15,55809561.6992
2024-01-05 10:00:00,Binance,BTC,1h,44147.22,44157.03,43433.0,43628.18,82326257.4969,,,,37843271.1193,44482986.3776
2024-01-05 11:00:00,Binance,BTC,1h,43628.19,43916.8,43605.36,43771.34,68349147.0954,,,,34653757.2114,33695389.884
2024-01-05 12:00:00,Binance,BTC,1h,43771.34,44110.07,43616.0,43882.52,81896596.729,,,,43075936.0954,38820660.6336
2024-01-05 13:00:00,Binance,BTC,1h,43882.52,44096.49,43721.06,43986.01,87542084.3467,,,,45750388.2027,41791696.144
2024-01-05 14:00:00,Binance,BTC,1h,43986.01,44062.36,43100.0,43486.04,156463640.0021,,,,72539204.758,83924435.2441
2024-01-05 15:00:00,Binance,BTC,1h,43488.21,43801.1,43355.54,43500.01,113468513.6017,,,,57633974.3051,55834539.2966
2024-01-05 16:00:00,Binance,BTC,1h,43500.01,43592.64,43220.0,43225.99,104227800.7405,,,,51707347.5674,52520453.1731
2024-01-05 17:00:00,Binance,BTC,1h,43225.99,43627.57,43100.46,43609.53,110212974.999,,,,58370664.0926,51842310.9064
2024-01-05 18:00:00,Binance,BTC,1h,43609.52,43690.12,43418.0,43610.07,55489094.9571,,,,26934561.3361,28554533.6209
2024-01-05 19:00:00,Binance,BTC,1h,43610.08,43808.07,43520.15,43600.0,54276951.5576,,,,28402962.48,25873989.0777
2024-01-05 20:00:00,Binance,BTC,1h,43600.0,44357.46,43599.99,43955.07,109847887.2819,,,,62149177.4804,47698709.8016
2024-01-05 21:00:00,Binance,BTC,1h,43955.07,43971.1,43580.51,43946.26,70455615.696,,,,33651872.4572,36803743.2388
2024-01-05 22:00:00,Binance,BTC,1h,43946.26,44048.64,43764.42,43967.44,44984950.3528,,,,21316055.4273,23668894.9256
2024-01-05 23:00:00,Binance,BTC,1h,43967.44,44318.61,43967.44,44145.11,75475950.8633,,,,40701569.8394,34774381.0239
2024-01-06 00:00:00,Binance,BTC,1h,44145.12,44214.42,43975.0,44068.8,38779432.0149,,,,17480340.6038,21299091.4111
2024-01-06 01:00:00,Binance,BTC,1h,44068.79,44094.4,43906.19,43970.64,37734853.0776,,,,14846496.6821,22888356.3955
2024-01-06 02:00:00,Binance,BTC,1h,43970.65,44009.24,43823.06,43909.31,31530634.1464,,,,14661749.4516,16868884.6948
2024-01-06 03:00:00,Binance,BTC,1h,43909.31,44018.57,43812.5,43931.1,29356107.5201,,,,16140409.5077,13215698.0125
2024-01-06 04:00:00,Binance,BTC,1h,43931.1,43971.1,43832.0,43850.0,18540306.7117,,,,8585956.5362,9954350.1755
2024-01-06 05:00:00,Binance,BTC,1h,43850.01,43871.1,43588.0,43698.72,51365442.7203,,,,23837788.6311,27527654.0892
2024-01-06 06:00:00,Binance,BTC,1h,43698.72,43700.34,43425.0,43454.7,72306703.1652,,,,33617765.6327,38688937.5326
2024-01-06 07:00:00,Binance,BTC,1h,43454.7,43668.02,43397.05,43653.2,42945533.7382,,,,24833936.2906,18111597.4476
2024-01-06 08:00:00,Binance,BTC,1h,43653.2,43744.37,43551.28,43692.33,35515066.2385,,,,18232111.3819,17282954.8566
2024-01-06 09:00:00,Binance,BTC,1h,43692.33,43756.0,43636.7,43651.9,24563697.2724,,,,11497242.5647,13066454.7077
2024-01-06 10:00:00,Binance,BTC,1h,43651.9,43771.1,43584.0,43694.48,29591829.5621,,,,17066140.479,12525689.083
2024-01-06 11:00:00,Binance,BTC,1h,43694.47,43705.23,43616.02,43671.96,17296948.7544,,,,8547331.617,8749617.1373
2024-01-06 12:00:00,Binance,BTC,1h,43671.97,43750.0,43527.27,43607.96,23213409.1787,,,,12953267.1202,10260142.0584
2024-01-06 13:00:00,Binance,BTC,1h,43607.95,43740.27,43542.0,43704.07,20653132.9272,,,,11118444.6864,9534688.2408
2024-01-06 14:00:00,Binance,BTC,1h,43704.08,43920.08,43703.41,43828.21,43767749.676,,,,24558828.7651,19208920.9109
