feature,importance
price_close,0.036180656
oi_zscore,0.035838235
price_close_mean_5,0.033936918
ls_top_top_account_long_short_ratio,0.033297475
price_low,0.03099134
oi_close,0.026455514
ls_top_top_account_short_percent,0.025581839
cross_taker_price,0.025075532
price_high,0.023904689
funding_high,0.021916948
taker_buy_mean_12,0.021604445
funding_std_24,0.020218505
basis_close_change,0.020208336
price_open,0.020014457
taker_sell_mean_12,0.01990261
funding_close,0.01946702
basis_volatility_24,0.019353887
ls_top_top_account_long_percent,0.019268239
basis_mean_24,0.018592218
price_close_std_5,0.018507604
funding_low,0.01822879
funding_mean_24,0.018132608
price_true_range,0.017927641
price_rolling_vol_5,0.017671693
oi_std_24,0.01743769
cross_ls_price,0.017368589
taker_buy_std_12,0.0170341
ls_top_zscore,0.016646348
price_close_return_5,0.016593399
funding_zscore,0.016311454
taker_sell_std_12,0.01615217
funding_norm,0.016040714
taker_aggregated_buy_volume,0.015431217
ls_top_delta,0.014647636
basis_zscore,0.014017314
taker_buy_ratio,0.013767034
cross_funding_price,0.013637354
cross_taker_funding,0.013412015
price_volume_change,0.013399043
taker_aggregated_sell_volume,0.013345762
price_volume_usd,0.013176721
price_wick_upper,0.012837503
taker_sell_zscore,0.012746067
basis_open_change,0.0126581695
price_volume_mean_10,0.01254067
funding_open,0.012085813
price_volume_zscore,0.011057829
basis_open_basis,0.010987607
basis_delta,0.010980059
cross_basis_taker,0.010943293
price_wick_lower,0.010730419
basis_close_basis,0.010574194
price_close_return_1,0.010431814
taker_buy_zscore,0.010344544
taker_imbalance,0.009259798
price_body_size,0.008060874
basis_drift,0.0067784255
price_log_return,0.0062871636
oi_low,0.0
oi_open,0.0
oi_high,0.0
oi_change_pct,0.0
oi_delta,0.0
cross_oi_price,0.0
