feature,importance
price_close_return_5,0.02511671
oi_close,0.021821184
oi_low,0.02165658
cross_ls_price,0.019752398
price_wick_upper,0.01915806
basis_open_basis,0.018324729
price_true_range,0.018134331
price_log_return,0.01790886
price_close_mean_5,0.017760698
basis_open_change,0.01772651
price_close,0.017590811
taker_aggregated_sell_volume,0.017531995
oi_zscore,0.017527102
basis_mean_24,0.017135758
basis_zscore,0.017124278
basis_close_change,0.016983982
taker_buy_mean_12,0.016809823
price_wick_lower,0.016783392
cross_funding_price,0.016776366
funding_low,0.01664549
funding_std_24,0.016593434
price_volume_mean_10,0.01630679
taker_imbalance,0.016306324
funding_open,0.016257033
taker_aggregated_buy_volume,0.016214177
basis_delta,0.016213404
taker_sell_std_12,0.016165225
funding_zscore,0.016032118
basis_volatility_24,0.015893271
ls_top_delta,0.015817728
ls_top_top_account_short_percent,0.015696624
taker_sell_zscore,0.015662976
price_close_return_1,0.015524755
price_high,0.015496107
price_volume_change,0.015469598
price_rolling_vol_5,0.015460935
ls_top_top_account_long_short_ratio,0.015340907
funding_norm,0.015340124
cross_taker_funding,0.015254701
price_close_std_5,0.01510391
oi_delta,0.014975285
oi_open,0.014961116
ls_top_zscore,0.014849592
cross_basis_taker,0.014662262
oi_std_24,0.01460239
taker_sell_mean_12,0.014582608
basis_close_basis,0.014559849
price_low,0.014348128
taker_buy_std_12,0.014212855
taker_buy_ratio,0.014167417
basis_drift,0.014134984
funding_mean_24,0.014113154
price_open,0.01398479
price_volume_zscore,0.01380875
price_volume_usd,0.013613241
ls_top_top_account_long_percent,0.013499408
taker_buy_zscore,0.01299234
cross_taker_price,0.012474199
price_body_size,0.01207205
oi_change_pct,0.011174959
cross_oi_price,0.010218508
funding_close,0.010146081
funding_high,0.009164166
oi_high,0.008262643
