feature,importance
price_close_return_5,0.029150246
price_log_return,0.024512514
price_close_return_1,0.023556529
cross_taker_price,0.022893868
cross_ls_price,0.021301484
taker_buy_std_12,0.020467335
taker_sell_zscore,0.019826338
ls_top_zscore,0.019275714
price_low,0.019213343
price_wick_upper,0.01854544
basis_volatility_24,0.018079694
oi_zscore,0.017958457
oi_change_pct,0.0176487
price_volume_usd,0.017464565
price_wick_lower,0.0174013
price_rolling_vol_5,0.017164314
ls_top_top_account_short_percent,0.017156096
funding_norm,0.016976925
basis_close_change,0.01641657
taker_sell_mean_12,0.016178971
price_volume_mean_10,0.016146665
price_close_mean_5,0.015965935
taker_sell_std_12,0.015758067
price_close,0.015622893
funding_std_24,0.015545084
cross_funding_price,0.015527429
taker_aggregated_sell_volume,0.015521288
basis_zscore,0.015458498
price_volume_change,0.015402389
oi_low,0.015389624
price_high,0.015371366
taker_buy_mean_12,0.01532187
cross_basis_taker,0.015319931
taker_aggregated_buy_volume,0.015295238
funding_zscore,0.015267341
basis_mean_24,0.01500884
taker_buy_ratio,0.014998702
price_true_range,0.014939755
basis_drift,0.014884963
oi_close,0.014836306
basis_open_change,0.014572541
price_volume_zscore,0.014526008
basis_close_basis,0.014435124
ls_top_top_account_long_percent,0.014413049
oi_open,0.014371191
funding_low,0.014344655
taker_imbalance,0.01431066
ls_top_delta,0.014089216
basis_open_basis,0.013964663
taker_buy_zscore,0.013927578
basis_delta,0.013400907
price_body_size,0.013176066
funding_open,0.012593131
funding_mean_24,0.012592548
price_open,0.01227984
price_close_std_5,0.012177128
ls_top_top_account_long_short_ratio,0.012001224
cross_taker_funding,0.011914832
funding_close,0.011540209
oi_high,0.01094692
oi_std_24,0.010721575
oi_delta,0.010445018
cross_oi_price,0.008839944
funding_high,0.0056454437
funding_extreme_positive,0.0
funding_extreme_negative,0.0
ls_top_ratio,0.0
oi_mean_24,0.0
